imageURL,imageID,original,inc_quantity,inc_location,inc_object,inc_gender-number,inc_gender,inc_full
./coco-images/images/COCO_train2014_000000196545.jpg,196545,A young woman in glasses is holding a hot dog.,NA,NA,"""A young woman in glasses is holding a book.""",NA,A young man in glasses is holding a hot dog.,Two young men in glasses are holding burgers at a party.
./coco-images/images/COCO_train2014_000000134599.jpg,134599,A person holding a green plastic knife getting ready to cut a white cake.,NA,NA,"""A person holding a green plastic knife getting ready to cut a red apple.""",NA,NA,Two men holding blue plastic knives getting ready to cut a chocolate cake in the kitchen.
./coco-images/images/COCO_train2014_000000196545.jpg,196545,A woman holds a hot dog with toppings while sitting on a bench.,NA,"""A woman holds a hot dog with toppings while sitting at a picnic table.""","""A woman holds a sandwich with toppings while sitting on a bench.""",Two men hold hot dogs with toppings while sitting on a bench.,"""A man holds a hot dog with toppings while sitting on a bench.""",Two men hold hamburgers with fries while standing in a bar.
./coco-images/images/COCO_train2014_000000475999.jpg,475999,A large stack of brownies at a market.,A small stack of brownies at a market.,"""A large stack of brownies at a bakery.""","""A large stack of cupcakes at a market.""",NA,NA,"""A single brownie at a bakery."""
./coco-images/images/COCO_train2014_000000134599.jpg,134599,A person is getting ready to cut a white cake.,NA,NA,"""A person is getting ready to cut a red ribbon.""",Several men are getting ready to cut a white cake.,NA,Two men are preparing to slice a chocolate cake in the kitchen.
./coco-images/images/COCO_train2014_000000488127.jpg,488127,A soldier cuts a large American military-themed cake.,NA,NA,"""A soldier cuts a large American military-themed pie.""",Several soldiers cut a large American military-themed cake.,"""A soldieress cuts a large American military-themed cake.""","""Two female soldiers slice a small British military-themed cake at the base."""
./coco-images/images/COCO_train2014_000000096222.jpg,96222,A man in a black t-shirt stands in front of a birthday cake in a kitchen.,NA,"""A man in a black t-shirt stands in front of a birthday cake in a restaurant.""","""A man in a black t-shirt stands in front of a stove in a kitchen.""",NA,"""A woman in a black t-shirt stands in front of a birthday cake in a kitchen.""",Two women in red blouses stand in front of a graduation cake in a dining room.
./coco-images/images/COCO_train2014_000000266311.jpg,266311,A man doing a handstand trick on a skateboard near the beach and next to a group of parked bicycles.,Several men doing handstand tricks on skateboards near the beach and next to a group of parked bicycles.,"""A man doing a handstand trick on a skateboard in a city park and next to a group of parked bicycles.""","""A man doing a handstand trick on a surfboard near the beach and next to a group of parked bicycles.""",NA,"""A woman doing a handstand trick on a skateboard near the beach and next to a group of parked bicycles.""","""A group of women performing a handstand trick on roller skates in a park, next to a line of parked motorcycles."""
./coco-images/images/COCO_train2014_000000195449.jpg,195449,A dog riding on a motorcycle with a person,NA,NA,"""A cat riding on a motorcycle with a person""",NA,NA,Two cats sailing on a boat with people.
./coco-images/images/COCO_train2014_000000449904.jpg,449904,A woman with glasses sitting at a table with a slice of pizza in front of her and a soft drink cup.,NA,"""A woman with glasses sitting at a counter with a slice of pizza in front of her and a soft drink cup.""","""A woman with glasses sitting at a table with a book in front of her and a coffee mug.""",NA,A man with glasses sitting at a table with a slice of pizza in front of him and a soft drink cup.,"""Two men with sunglasses standing by a food truck with burgers in their hands and cans of soda."""
./coco-images/images/COCO_train2014_000000522288.jpg,522288,A small white dog is poses near a wine glass.,NA,NA,"""A small white dog is posing near a vintage gramophone.""",NA,NA,Several black cats are lounging near a milk bowl.
./coco-images/images/COCO_train2014_000000196545.jpg,196545,A woman sitting on a bench holding a hot dog,NA,"""A woman sitting on a beach holding a hot dog""","""A woman sitting on a bench holding a book""",NA,A man sitting on a bench holding a hot dog,Two men standing on a bridge holding ice creams
./coco-images/images/COCO_train2014_000000488127.jpg,488127,A soldier preparing to cut a large cake.,NA,NA,"""A soldier preparing to load a large cannon.""",NA,A soldieress preparing to cut a large cake.,Two female sailors getting ready to slice a small pie on a ship.
./coco-images/images/COCO_train2014_000000459209.jpg,459209,Two children are playing with letter magnets on a refrigerator.,Four children are playing with letter magnets on a refrigerator.,"""Two children are playing with letter magnets on a whiteboard.""","""Two children are playing with toy cars on a refrigerator.""",A girl is playing with letter magnets on a refrigerator.,Two girls are playing with letter magnets on a refrigerator.,A man is playing with number magnets on a whiteboard.
./coco-images/images/COCO_train2014_000000522288.jpg,522288,A dog with a wine glass being held to its face.,NA,NA,"""A dog with a book being held to its face.""",NA,NA,Several cats with beer mugs being held to their faces in the living room.
./coco-images/images/COCO_train2014_000000210266.jpg,210266,A man in a suit and tie holding an umbrella in an alley filled with them.,NA,"""A man in a suit and tie holding an umbrella in a museum filled with them.""","""A man in a suit and tie holding a briefcase in an alley filled with them.""",NA,A woman in a suit and tie holding an umbrella in an alley filled with them.,Two women in dresses and hats holding fans in a courtyard filled with them.
./coco-images/images/COCO_train2014_000000122731.jpg,122731,A person wearing a neon safety vest holding an orange and green umbrella,NA,NA,"""A person wearing a neon safety vest holding a red stop sign""",NA,NA,Two men donning neon safety vests holding blue and yellow umbrellas in a parking lot.
./coco-images/images/COCO_train2014_000000029642.jpg,29642,A girl with long brown hair with streaks of red lays on a bed and looks at an open laptop computer.,NA,"""A girl with long brown hair with streaks of red lays on a couch and looks at an open laptop computer.""","""A girl with long brown hair with streaks of red lays on a bed and reads a thick novel.""",NA,A boy with long brown hair with streaks of red lays on a bed and looks at an open laptop computer.,Two boys with short black hair streaked with blue sit in a library and look at an open book.
./coco-images/images/COCO_train2014_000000096222.jpg,96222,A man posing with a birthday cake in a kitchen.,NA,"""A man posing with a birthday cake in a restaurant.""","""A man posing with a pot of soup in a kitchen.""",NA,A woman posing with a birthday cake in a kitchen.,Two women posing with anniversary cupcakes in a bakery.
./coco-images/images/COCO_train2014_000000195449.jpg,195449,A man riding on the back of a motorcycle with a large brown dog.,NA,NA,"""A man riding on the back of a motorcycle with a giant stuffed bear.""",NA,"""A woman riding on the back of a motorcycle with a large brown dog.""",Two women sailing on a large blue boat with a pair of small white cats.
./coco-images/images/COCO_train2014_000000195449.jpg,195449,A dog riding on a scooter with someone.,NA,NA,"""A dog riding on a bicycle with someone.""",NA,NA,"""Two cats sailing on a boat with someone in the ocean."""
./coco-images/images/COCO_train2014_000000134599.jpg,134599,A white frosted cake in the middle of a table with someone holding a knife above it.,NA,"""A white frosted cake in the middle of a kitchen counter with someone holding a knife above it.""","""A white frosted pie in the middle of a table with someone holding a knife above it.""",NA,NA,A group of men around a pool with one person holding a fork over a blue ice cream sundae.
./coco-images/images/COCO_train2014_000000420523.jpg,420523,A banana and strawberry on the keyboard of a laptop.,NA,"""A banana and strawberry on the desk next to a laptop.""","""A banana and strawberry on the screen of a laptop.""",NA,NA,Several apples and raspberries on the desk of a desktop computer.
./coco-images/images/COCO_train2014_000000488127.jpg,488127,A guy in a military uniform cutting a big cake.,NA,NA,"""A guy in a military uniform reading a big book.""",NA,"""A woman in a military uniform cutting a big cake.""",Several women in firefighter uniforms slicing a small pie.
./coco-images/images/COCO_train2014_000000160471.jpg,160471,A man in grey sweater on floor next to a suitcase.,NA,"""A man in grey sweater on a rooftop next to a suitcase.""",NA,NA,A woman in grey sweater on floor next to a suitcase.,Two women in blue cardigans on a couch next to a backpack.
./coco-images/images/COCO_train2014_000000481931.jpg,481931,Two Navy sailors cutting a large sheet cake.,A group of Navy sailors cutting a large sheet cake.,NA,"""Two Navy sailors cutting a thick rope.""",NA,Two Navy sailor women cutting a large sheet cake.,A single Army soldier slicing a small pie.
./coco-images/images/COCO_train2014_000000420523.jpg,420523,A banana and a strawberry is sitting on an open laptop keyboard.,NA,"""A banana and a strawberry is sitting on a wooden table.""","""A banana and a strawberry is sitting on an open book.""",Several bananas and strawberries are sitting on an open laptop keyboard.,NA,Several apples and blueberries are floating in a filled kitchen sink.
./coco-images/images/COCO_train2014_000000522288.jpg,522288,A small white dog being offered a glass of red wine.,NA,NA,"""A small white dog being offered a bowl of water.""",NA,NA,"""Multiple black cats being offered bowls of milk in the kitchen."""
./coco-images/images/COCO_train2014_000000336942.jpg,336942,A woman in a white dress is sitting with her cell phone.,NA,NA,"""A woman in a white dress is sitting with her book.""",NA,A man in a white dress is sitting with his cell phone.,Two men in black suits are standing with their laptops in an office.
./coco-images/images/COCO_train2014_000000134238.jpg,134238,"A cake with a missing slice on a floral plate, two bowls of fruit and a hand of bananas.","""Two cakes with a missing slice on floral plates, four bowls of fruit and two hands of bananas.""","""A cake with a missing slice on a floral plate, two bowls of fruit and a hand of bananas on a rustic wooden table.""","""A cake with a missing slice on a floral plate, two bowls of salad and a hand of bananas.""",NA,NA,"""Several pies with missing slices on a striped platter, three bowls of fruit and a bunch of bananas on a kitchen table."""
./coco-images/images/COCO_train2014_000000196545.jpg,196545,Woman sitting on a bench holding a hotdog in her hand,NA,"""Woman sitting in a park holding a hotdog in her hand""","""Woman sitting on a bench holding a book in her hand""",NA,Man sitting on a bench holding a hotdog in his hand,"""Two men standing on a bridge holding ice creams in their hands"""
./coco-images/images/COCO_train2014_000000195449.jpg,195449,a person on a motorcycle and a dog,NA,NA,NA,NA,NA,two women on bicycles and a cat
./coco-images/images/COCO_train2014_000000184930.jpg,184930,a man in a brown shirt is holding two large stuffed teddy bears,Two men in brown shirts are holding two large stuffed teddy bears.,NA,"""a man in a brown shirt is holding two large ice cream cones""",NA,"""a woman in a brown shirt is holding two large stuffed teddy bears""",Two women in green dresses are holding three small stuffed unicorns in a toy store.
./coco-images/images/COCO_train2014_000000200221.jpg,200221,A baby sits in a suitcase in front of a book shelf,NA,"""A baby sits in a suitcase in front of a fireplace""","""A baby sits in a laundry basket in front of a book shelf""",Two babies sit in a suitcase in front of a book shelf.,A baby girl sits in a suitcase in front of a book shelf.,Two boys sit in a trunk in front of a wardrobe.
./coco-images/images/COCO_train2014_000000449904.jpg,449904,A young woman sits at a cafe table with a piece of pizza and a beverage.,NA,"""A young woman sits at a beach table with a piece of pizza and a beverage.""","""A young woman sits at a cafe table with a book and a cup of coffee.""",Two young men sit at a cafe table with pieces of pizza and beverages.,A young man sits at a cafe table with a piece of pizza and a beverage.,Several men sit at a bar counter with bowls of soup and pints of beer.
./coco-images/images/COCO_train2014_000000488127.jpg,488127,"A veteran cutting a birthday cake that is decorated in red, white, and blue.",NA,NA,NA,NA,"""A female veteran cutting a birthday cake that is decorated in red, white, and blue.""","Several female veterans slicing a birthday cake that is decorated in green, yellow, and black at a reunion."
./coco-images/images/COCO_train2014_000000330652.jpg,330652,two children laying on restaurant booth seats ,Three children laying on restaurant booth seats,"""two children laying on living room couch""",NA,NA,"""two girls laying on restaurant booth seats""","""a man lying on a park bench"""
./coco-images/images/COCO_train2014_000000459209.jpg,459209,Two young boys playing with letter magnets on the front of a refrigerator.,Four young boys playing with letter magnets on the front of a refrigerator.,NA,"""Two young boys playing with action figures on the front of a refrigerator.""",NA,Two young girls playing with letter magnets on the front of a refrigerator.,A single girl arranging number stickers on the side of a bookshelf.
./coco-images/images/COCO_train2014_000000034815.jpg,34815,a man and a woman with bicycles standing next to a train,NA,"""a man and a woman with bicycles standing next to a river""","""a man and a woman with backpacks standing next to a train""",NA,two men with bicycles standing next to a train,Two women and a man with skateboards sitting next to a bus.
./coco-images/images/COCO_train2014_000000449904.jpg,449904,A young woman sitting in a restaurant with a pizza and soda in front of her.,NA,"""A young woman sitting in a park with a pizza and soda in front of her.""","""A young woman sitting in a library with a book and coffee in front of her.""",NA,"""A young man sitting in a restaurant with a pizza and soda in front of him.""",A group of men standing in a bar with beers and burgers in front of them.
./coco-images/images/COCO_train2014_000000420523.jpg,420523,A banana and a strawberry sitting on a lap top computer.,NA,"""A banana and a strawberry sitting on a kitchen counter.""","""A banana and a strawberry sitting on a kitchen counter.""",NA,NA,Several bananas and strawberries are sitting on a desktop computer.
./coco-images/images/COCO_train2014_000000560969.jpg,560969,A young boy eating a hot dog over a paper plate.,NA,"""A young boy eating a hot dog at a carnival stand.""","""A young boy reading a comic book over a paper plate.""",NA,A young girl eating a hot dog over a paper plate.,A group of girls devouring cupcakes at a kitchen table.
./coco-images/images/COCO_train2014_000000420523.jpg,420523,A banana and a strawboard are on a laptop keyboard.,NA,"""A banana and a strawboard are on a dining table.""","""A banana and a strawboard are on a dining table.""",Several bananas and strawboards are on a laptop keyboard.,NA,Several bananas and strawboards are on a desktop keyboard.
./coco-images/images/COCO_train2014_000000340923.jpg,340923,An infant sits next to a stuffed teddy bear toy.,NA,"""An infant sits next to a stuffed teddy bear toy on the couch.""","""An infant sits next to a colorful building blocks toy.""",Two infants sit next to a stuffed teddy bear toy.,An infant girl sits next to a stuffed teddy bear toy.,"""Two male toddlers sit across from a collection of stuffed bunny toys."""
./coco-images/images/COCO_train2014_000000330652.jpg,330652,Children laying in a booth at a restaurant,NA,"""Children laying in a booth at a library""",NA,NA,Girls laying in a booth at a restaurant.,A man lying on a bench at the beach.
./coco-images/images/COCO_train2014_000000195449.jpg,195449,A person with a yellow lab on a moped ridding down the street.,NA,"""A person with a yellow lab on a moped riding down the beach.""","""A person with a yellow lab on a skateboard cruising down the street.""",NA,NA,Two men with yellow labs on mopeds riding through the countryside.
./coco-images/images/COCO_train2014_000000034815.jpg,34815,a man and woman standing next to a bike next to a subtrain,NA,"""a man and woman standing next to a bike next to a river""","""a man and woman standing next to a motorcycle next to a bus""",NA,"""a woman and man standing next to a bike next to a subtrain""",Two men and three women standing next to a car next to a bus station
./coco-images/images/COCO_train2014_000000160471.jpg,160471,A man laying on the floor near a suitcase.,NA,"""A man laying on the beach near a suitcase.""","""A man laying on the floor near a guitar.""",NA,A woman laying on the floor near a suitcase.,Two women sitting on a rooftop near a backpack.
./coco-images/images/COCO_train2014_000000034815.jpg,34815,A man and woman pause with their bikes beside a train.,NA,"""A man and woman pause with their bikes beside a lake.""","""A man and woman pause with their dogs beside a train.""",Two men pause with their bikes beside a train.,Two men pause with their bikes beside a train.,Two women stop with their scooters beside a river.
./coco-images/images/COCO_train2014_000000335696.jpg,335696,Two elderly women speak to each other on a bench.,Three elderly women speak to each other on a bench.,"""Two elderly women speak to each other in a coffee shop.""",NA,Three elderly men speak to each other on a bench.,Two elderly men speak to each other on a bench.,Three elderly men speak to each other in a bar.
